Protocol,Source IP,Source Port,Destination IP,Destination Port,Start Time,End Time,Duration,NAT IP,NAT Port,Device,UserID,SubscriberID,CustName,Address,Email,Phone,Alt-Phone,CustID,IP Type,Latitude,Longitude,B-Phone,B-SubscriberID,B-CustName
UDP,192.168.146.248,5692,138.99.66.203,53,2025-08-26-01:50:48,2025-08-26-01:51:14,26,62.172.219.41,12248,BRAS-005,user0125,SUB100125,Ira Mehta,"222, Church Street, Hyderabad, India",ira.mehta577@gmail.com,918445877175,918445877556,CUST200125,static,17.37395,78.49695,,404459024788809,Sai Nair
TCP,10.27.30.7,6667,45.209.212.92,443,2025-08-24-21:42:14,2025-08-24-21:46:38,264,98.51.150.11,4549,CGNAT-004,user0299,SUB100299,Vivaan Verma,"54, Church Street, Bengaluru, India",vivaan.verma538@example.in,918556168147,918556168145,CUST200299,static,12.97885,77.54135,+917670463401,SUB414603,Riya Patel
TCP,192.168.85.20,47744,20.27.144.153,5222,2025-08-23-16:57:19,2025-08-23-17:03:08,349,209.67.224.163,14009,BRAS-005,user0019,SUB100019,Muhammad Nair,"172, Church Street, Pune, India",muhammad.nair822@example.in,917158692322,917158692025,CUST200019,dynamic,18.49567,73.87622,+917651426483,404453265344772,
TCP,100.70.57.143,45881,196.56.234.225,5222,2025-08-26-17:07:55,2025-08-26-17:08:49,54,116.161.42.14,21365,BRAS-008,user0242,SUB100242,Ishita Mehta,"94, Ring Road, Pune, India",ishita.mehta579@example.in,916806356512,916806356944,CUST200242,dynamic,18.5187,73.85159,+918777793735,SUB587240,
TCP,36.202.241.185,57456,93.11.4.46,5222,2025-08-26-06:40:32,2025-08-26-06:42:04,92,36.202.241.185,0,BRAS-011,user0119,SUB100119,Aadhya Singh,"240, Station Rd, Hyderabad, India",aadhya.singh194@yahoo.com,917004786863,917004786752,CUST200119,static,17.35313,78.47082,+917908415121,SUB817583,Reyansh Gupta
TCP,192.168.116.11,5307,89.248.6.143,443,2025-08-26-16:47:35,2025-08-26-16:49:17,102,124.205.61.193,3007,BRAS-006,user0204,SUB100204,Arjun Gupta,"201, Station Rd, Mumbai, India",arjun.gupta117@yahoo.com,916461849926,916461849891,CUST200204,dynamic,19.01621,72.83881,+918880835893,SUB720557,Ananya Nair
UDP,192.168.154.189,34312,209.75.37.109,29677,2025-08-24-03:53:42,2025-08-24-03:54:01,19,147.30.29.78,9372,BRAS-011,user0179,SUB100179,Reyansh Das,"20, Church Street, Lucknow, India",reyansh.das764@yahoo.com,916969029593,916969029172,CUST200179,dynamic,26.8208,80.94177,+916178094652,SUB809450,Anika Jain
TCP,10.202.220.194,31234,61.19.69.39,443,2025-08-25-08:52:21,2025-08-25-08:55:08,167,77.87.157.1,35938,BRAS-006,user0082,SUB100082,Reyansh Pandey,"232, JLN Marg, Mumbai, India",reyansh.pandey461@yahoo.com,917924075818,917924075412,CUST200082,static,19.10115,72.85061,+916927213872,404452515136494,Vihaan Khan
TCP,98.65.203.164,5353,208.92.199.142,22,2025-08-24-21:30:59,2025-08-24-21:31:13,14,98.65.203.164,0,CGNAT-003,user0281,SUB100281,Sara Khan,"19, Nehru Marg, Ahmedabad, India",sara.khan249@outlook.com,918168622783,918168622693,CUST200281,dynamic,23.02403,72.54843,,404452670719371,Arjun Reddy
TCP,100.100.77.49,36710,169.160.244.240,80,2025-08-24-02:50:09,2025-08-24-02:55:13,304,201.142.63.92,23450,CGNAT-005,user0223,SUB100223,Saanvi Reddy,"206, JLN Marg, Jaipur, India",saanvi.reddy527@yahoo.com,917993056164,917993056408,CUST200223,dynamic,26.94442,75.77736,+918977366460,,Ananya Gupta
TCP,100.84.210.255,54896,78.219.109.201,443,2025-08-26-02:32:03,2025-08-26-02:34:18,135,142.26.58.82,7423,BRAS-004,user0211,SUB100211,Aadhya Gupta,"104, Gandhi Path, Ahmedabad, India",aadhya.gupta106@gmail.com,919631779717,919631779517,CUST200211,static,23.00467,72.52698,+916255004627,SUB435910,Saanvi Tiwari
TCP,100.84.244.66,44288,55.181.103.181,5060,2025-08-23-05:03:28,2025-08-23-05:05:15,107,126.138.32.121,43294,BRAS-001,user0079,SUB100079,Sara Khan,"36, Park Street, Bengaluru, India",sara.khan232@outlook.com,918281685054,918281685357,CUST200079,static,12.95662,77.55905,+917670673056,404456695100613,Aarav Chopra
TCP,172.23.63.99,26581,114.121.16.29,5223,2025-08-28-07:29:16,2025-08-28-07:32:11,175,136.0.97.183,20127,BRAS-011,user0214,SUB100214,Ayaan Bose,"151, JLN Marg, Delhi, India",ayaan.bose675@example.in,917316373516,917316373917,CUST200214,static,28.57243,77.22078,+918501416805,404452563648226,Myra Iyer
TCP,192.168.235.35,65418,149.45.152.109,22,2025-08-29-22:15:49,2025-08-29-22:15:54,5,111.74.69.80,48065,CGNAT-002,user0133,SUB100133,Ayaan Tiwari,"69, Park Street, Mumbai, India",ayaan.tiwari85@gmail.com,919735866296,919735866943,CUST200133,dynamic,19.08066,72.88825,+917321375458,SUB367291,
TCP,218.61.199.129,20303,140.131.188.105,5061,2025-08-29-00:01:50,2025-08-29-00:02:25,35,218.61.199.129,0,CGNAT-001,user0067,SUB100067,Krishna Bose,"58, Gandhi Path, Kolkata, India",krishna.bose588@yahoo.com,918519832731,918519832851,CUST200067,static,22.52848,88.33343,+916746413587,,
TCP,192.168.221.158,29316,160.14.11.97,5222,2025-08-27-13:56:13,2025-08-27-13:57:37,84,7.251.185.33,16440,CGNAT-002,user0254,SUB100254,Ishita Nair,"229, JLN Marg, Ahmedabad, India",ishita.nair138@example.in,917143866322,917143866026,CUST200254,dynamic,23.00571,72.58535,+916499754641,404458716046408,Anika Nair
TCP,172.26.153.141,10138,215.228.82.123,80,2025-08-27-15:11:27,2025-08-27-15:16:13,286,44.100.154.224,32145,BRAS-005,user0055,SUB100055,Ananya Patel,"161, MG Road, Hyderabad, India",ananya.patel926@gmail.com,916909743953,916909743942,CUST200055,dynamic,17.39803,78.49383,+919811249178,404453969599565,Arjun Tiwari
TCP,172.18.38.1,43516,184.169.176.21,5060,2025-08-26-23:57:15,2025-08-27-00:01:45,270,2.248.101.249,5725,CGNAT-003,user0104,SUB100104,Myra Mehta,"145, Nehru Marg, Lucknow, India",myra.mehta726@example.in,919298259526,919298259495,CUST200104,dynamic,26.82036,80.93618,,404457944451491,Ishaan Chopra
TCP,34.194.51.9,6572,220.50.248.161,443,2025-08-26-22:00:23,2025-08-26-22:03:15,172,34.194.51.9,0,CGNAT-003,user0246,SUB100246,Muhammad Sharma,"4, Station Rd, Pune, India",muhammad.sharma531@outlook.com,917920530214,917920530566,CUST200246,static,18.51181,73.87032,+917917893226,SUB737911,Vihaan Das
TCP,100.96.154.66,54768,90.245.106.36,443,2025-08-28-06:45:52,2025-08-28-06:48:20,148,108.147.111.106,37203,CGNAT-003,user0179,SUB100179,Reyansh Das,"20, Church Street, Lucknow, India",reyansh.das764@yahoo.com,916969029593,916969029172,CUST200179,dynamic,26.8208,80.94177,+918432106512,404457093843311,Aarav Yadav
ICMP,100.118.50.9,0,105.44.170.175,0,2025-08-25-20:59:03,2025-08-25-21:01:18,135,187.29.35.169,16539,CGNAT-001,user0165,SUB100165,Aditya Reddy,"152, Bannerghatta Rd, Lucknow, India",aditya.reddy378@example.in,918451870534,918451870493,CUST200165,static,26.89204,80.96533,+917535591914,,Aditya Sharma
UDP,10.145.114.65,25179,176.196.109.221,32162,2025-08-29-05:10:23,2025-08-29-05:11:53,90,123.183.117.213,47219,BRAS-009,user0101,SUB100101,Krishna Reddy,"138, MG Road, Delhi, India",krishna.reddy293@example.in,916168733950,916168733479,CUST200101,static,28.61662,77.22832,+918566371332,,Aditya Chopra
TCP,10.133.250.182,17095,175.31.121.141,443,2025-08-24-19:37:53,2025-08-24-19:38:25,32,156.45.150.115,6820,BRAS-010,user0180,SUB100180,Aarohi Singh,"108, Park Street, Mumbai, India",aarohi.singh751@example.in,916570433154,916570433006,CUST200180,dynamic,19.07142,72.8892,+917677204069,SUB943452,Krishna Jain
TCP,192.168.136.248,31751,146.239.99.194,443,2025-08-24-12:04:12,2025-08-24-12:04:50,38,199.77.141.241,1730,CGNAT-003,user0097,SUB100097,Arjun Nair,"222, MG Road, Lucknow, India",arjun.nair846@gmail.com,918981829922,918981829959,CUST200097,static,26.81349,80.91936,+916687828781,,Ayaan Iyer
TCP,192.168.74.10,46574,77.215.150.44,5223,2025-08-24-20:31:26,2025-08-24-20:32:55,89,42.225.208.189,3339,BRAS-009,user0020,SUB100020,Reyansh Tiwari,"222, Station Rd, Hyderabad, India",reyansh.tiwari286@yahoo.com,916607337543,916607337036,CUST200020,dynamic,17.4073,78.50299,+919210176617,SUB772904,Saanvi Nair
TCP,100.101.0.68,4406,207.19.203.62,443,2025-08-24-22:43:50,2025-08-24-22:44:23,33,43.72.198.231,38566,BRAS-001,user0299,SUB100299,Vivaan Verma,"54, Church Street, Bengaluru, India",vivaan.verma538@example.in,918556168147,918556168145,CUST200299,static,12.97885,77.54135,+916463728615,SUB778881,Ayaan Kumar
UDP,10.32.119.93,56824,33.238.15.109,53,2025-08-25-10:13:47,2025-08-25-10:14:12,25,129.110.191.51,6061,BRAS-009,user0125,SUB100125,Ira Mehta,"222, Church Street, Hyderabad, India",ira.mehta577@gmail.com,918445877175,918445877556,CUST200125,static,17.37395,78.49695,,404455942358589,
UDP,3.162.206.234,49614,151.126.63.45,22105,2025-08-24-05:30:09,2025-08-24-05:31:21,72,3.162.206.234,0,CGNAT-004,user0105,SUB100105,Aarav Iyer,"135, Ring Road, Lucknow, India",aarav.iyer175@example.in,918169409749,918169409309,CUST200105,dynamic,26.87418,80.90641,+919189912506,404455850882086,Krishna Pillai
TCP,172.20.46.24,16503,204.163.164.197,443,2025-08-25-01:12:17,2025-08-25-01:14:07,110,200.83.188.86,46949,BRAS-011,user0188,SUB100188,Aarav Tiwari,"106, Nehru Marg, Lucknow, India",aarav.tiwari899@yahoo.com,919162299911,919162299148,CUST200188,dynamic,26.84055,80.88609,+917485419217,,Ishaan Mehta
TCP,37.35.82.247,40053,192.180.246.215,443,2025-08-26-13:57:02,2025-08-26-13:59:26,144,37.35.82.247,0,BRAS-008,user0210,SUB100210,Saanvi Nair,"249, Nehru Marg, Bengaluru, India",saanvi.nair339@outlook.com,919289002877,919289002175,CUST200210,static,12.97436,77.56948,,404453116512084,Anika Mehta
TCP,172.19.95.172,56194,164.107.57.51,22,2025-08-27-04:13:23,2025-08-27-04:14:18,55,147.231.232.148,49151,BRAS-002,user0264,SUB100264,Ayaan Das,"24, Park Street, Chennai, India",ayaan.das239@gmail.com,919350208021,919350208427,CUST200264,static,13.09045,80.31764,+916796744943,SUB727797,
ICMP,100.94.122.150,0,97.58.159.250,0,2025-08-24-14:12:07,2025-08-24-14:15:22,195,77.38.101.117,32236,CGNAT-005,user0296,SUB100296,Vivaan Khan,"207, MG Road, Chennai, India",vivaan.khan557@example.in,918474212309,918474212077,CUST200296,dynamic,13.13734,80.22115,+916613117316,SUB441636,Aarav Sharma
TCP,100.64.194.94,53276,173.177.190.123,443,2025-08-27-19:18:21,2025-08-27-19:20:52,151,73.238.73.106,61790,BRAS-002,user0226,SUB100226,Aarohi Sharma,"196, Bannerghatta Rd, Jaipur, India",aarohi.sharma289@gmail.com,919180919015,919180919144,CUST200226,dynamic,26.97093,75.84961,,SUB299299,Aadhya Das
TCP,192.168.244.201,41032,85.192.108.143,443,2025-08-27-09:43:27,2025-08-27-09:46:01,154,216.32.16.210,29321,BRAS-004,user0137,SUB100137,Ira Verma,"243, Church Street, Pune, India",ira.verma618@yahoo.com,917406596575,917406596924,CUST200137,dynamic,18.5676,73.86828,+917449385638,404452406086109,
TCP,100.93.130.206,50116,133.27.152.97,80,2025-08-27-06:33:02,2025-08-27-06:35:39,157,197.237.57.131,45279,BRAS-011,user0054,SUB100054,Aditya Reddy,"76, Nehru Marg, Mumbai, India",aditya.reddy589@yahoo.com,918946474367,918946474369,CUST200054,static,19.10121,72.82588,+916689457614,404452806511107,
UDP,10.212.233.155,27975,175.124.230.10,19788,2025-08-26-12:47:53,2025-08-26-12:49:37,104,17.101.76.180,1807,BRAS-008,user0023,SUB100023,Diya Iyer,"54, Gandhi Path, Chennai, India",diya.iyer294@yahoo.com,919482366299,919482366680,CUST200023,dynamic,13.10884,80.27741,+917338678980,,Krishna Reddy
UDP,192.168.49.110,41616,152.25.119.74,18247,2025-08-24-07:53:39,2025-08-24-07:56:52,193,8.182.246.30,2577,BRAS-004,user0101,SUB100101,Krishna Reddy,"138, MG Road, Delhi, India",krishna.reddy293@example.in,916168733950,916168733479,CUST200101,static,28.61662,77.22832,+916442102172,SUB251595,Ishaan Nair
TCP,10.22.29.107,9537,28.96.87.255,443,2025-08-24-06:42:31,2025-08-24-06:46:23,232,219.63.180.163,40652,BRAS-009,user0160,SUB100160,Aadhya Patel,"84, Gandhi Path, Chennai, India",aadhya.patel550@outlook.com,919661889241,919661889183,CUST200160,static,13.10617,80.26498,+916100422338,,Aarav Mehta
TCP,10.163.135.31,19137,65.224.207.176,443,2025-08-28-02:41:38,2025-08-28-02:42:51,73,116.20.227.226,61493,BRAS-009,user0158,SUB100158,Aarav Pandey,"153, Station Rd, Ahmedabad, India",aarav.pandey654@example.in,918389836403,918389836613,CUST200158,static,23.0245,72.55048,,SUB421428,Vihaan Mehta
UDP,100.88.222.171,17947,112.201.131.55,53,2025-08-29-17:54:10,2025-08-29-17:55:24,74,85.40.220.70,4960,BRAS-007,user0260,SUB100260,Aarav Sharma,"164, JLN Marg, Bengaluru, India",aarav.sharma537@example.in,918577848728,918577848997,CUST200260,dynamic,12.9425,77.56797,+919855705878,404457073046174,Pari Sharma
ICMP,172.26.83.231,0,55.232.45.114,0,2025-08-25-23:25:23,2025-08-25-23:26:39,76,125.247.119.146,8130,BRAS-004,user0227,SUB100227,Ananya Pandey,"11, MG Road, Chennai, India",ananya.pandey127@outlook.com,916728326842,916728326508,CUST200227,dynamic,13.08478,80.27551,+916905573939,404456155607824,Diya Gupta
UDP,183.36.121.184,17997,18.170.218.76,17526,2025-08-29-20:48:07,2025-08-29-20:51:18,191,183.36.121.184,0,BRAS-009,user0218,SUB100218,Aarav Khan,"116, Station Rd, Chennai, India",aarav.khan834@yahoo.com,917003424420,917003424380,CUST200218,static,13.06668,80.23861,,SUB609183,Reyansh Tiwari
TCP,10.229.129.215,42989,170.35.155.163,5060,2025-08-26-09:42:02,2025-08-26-09:43:20,78,38.27.80.73,43810,BRAS-005,user0019,SUB100019,Muhammad Nair,"172, Church Street, Pune, India",muhammad.nair822@example.in,917158692322,917158692025,CUST200019,dynamic,18.49567,73.87622,+917212424581,SUB990139,
TCP,100.100.198.232,62622,111.161.121.166,443,2025-08-26-02:33:08,2025-08-26-02:34:29,81,131.240.35.254,47397,BRAS-008,user0141,SUB100141,Vihaan Sharma,"7, Bannerghatta Rd, Kolkata, India",vihaan.sharma354@outlook.com,916438889937,916438889679,CUST200141,static,22.60042,88.37753,,404454118227279,
TCP,100.71.193.205,62302,174.140.201.124,22,2025-08-27-14:35:09,2025-08-27-14:36:46,97,145.54.229.49,36105,BRAS-002,user0175,SUB100175,Myra Mehta,"61, Ring Road, Hyderabad, India",myra.mehta181@outlook.com,918932133480,918932133965,CUST200175,dynamic,17.39605,78.5121,+918760866351,404454398791972,Vihaan Singh
TCP,10.93.135.238,63999,215.87.173.57,22,2025-08-26-10:33:25,2025-08-26-10:36:50,205,136.221.68.205,56948,BRAS-007,user0123,SUB100123,Ira Sharma,"69, Gandhi Path, Mumbai, India",ira.sharma53@outlook.com,919688263435,919688263751,CUST200123,static,19.0431,72.93281,+918436716564,404453118884073,Aditya Mishra
UDP,10.247.174.238,13541,27.85.38.25,53,2025-08-24-13:04:49,2025-08-24-13:05:34,45,98.88.140.234,44325,CGNAT-005,user0005,SUB100005,Ishita Khan,"153, Bannerghatta Rd, Bengaluru, India",ishita.khan391@example.in,919532871012,919532871691,CUST200005,dynamic,12.99798,77.61793,+918949235854,404453939467663,Anika Iyer
TCP,100.111.15.142,3363,184.64.209.55,80,2025-08-25-08:40:58,2025-08-25-08:41:47,49,48.128.190.215,10195,CGNAT-005,user0010,SUB100010,Ayaan Nair,"106, Bannerghatta Rd, Hyderabad, India",ayaan.nair434@yahoo.com,919382997376,919382997116,CUST200010,static,17.37945,78.46627,+917793527798,SUB814974,Vivaan Verma
TCP,192.168.127.236,55697,9.123.161.26,443,2025-08-27-02:02:27,2025-08-27-02:03:00,33,136.176.75.120,64263,BRAS-011,user0106,SUB100106,Arjun Pandey,"218, MG Road, Pune, India",arjun.pandey894@example.in,917091307562,917091307368,CUST200106,static,18.52132,73.84217,+917659142553,SUB178133,Diya Reddy
TCP,10.103.207.93,53918,133.235.43.64,5222,2025-08-26-19:32:08,2025-08-26-19:32:45,37,30.65.130.188,14896,BRAS-005,user0080,SUB100080,Krishna Pandey,"113, MG Road, Bengaluru, India",krishna.pandey739@outlook.com,916888059296,916888059229,CUST200080,dynamic,12.94265,77.57284,+916758745429,404457030597114,
TCP,172.30.204.12,49223,167.97.128.200,443,2025-08-29-17:09:23,2025-08-29-17:13:03,220,18.112.201.54,3440,BRAS-002,user0061,SUB100061,Vivaan Tiwari,"220, Park Street, Hyderabad, India",vivaan.tiwari284@gmail.com,918329318393,918329318529,CUST200061,static,17.3916,78.52748,+916239586938,404451634730371,Myra Iyer
UDP,172.16.58.216,4298,116.200.131.98,53,2025-08-25-06:12:52,2025-08-25-06:13:19,27,44.24.130.202,42486,BRAS-003,user0229,SUB100229,Sara Reddy,"50, Link Road, Bengaluru, India",sara.reddy922@gmail.com,916414139755,916414139314,CUST200229,dynamic,12.98159,77.59382,+919359256855,404453405846747,Vivaan Kumar
TCP,27.56.133.130,8506,16.39.251.248,443,2025-08-23-07:22:40,2025-08-23-07:26:14,214,27.56.133.130,0,CGNAT-003,user0054,SUB100054,Aditya Reddy,"76, Nehru Marg, Mumbai, India",aditya.reddy589@yahoo.com,918946474367,918946474369,CUST200054,static,19.10121,72.82588,+916651686309,SUB587601,Vivaan Rao
TCP,100.84.192.68,45856,35.40.5.31,5223,2025-08-27-07:45:48,2025-08-27-07:46:20,32,30.236.232.146,64977,BRAS-002,user0040,SUB100040,Arjun Tiwari,"151, Gandhi Path, Jaipur, India",arjun.tiwari881@yahoo.com,918131869993,918131869677,CUST200040,dynamic,26.9261,75.76744,,404454307557591,Saanvi Gupta
TCP,192.168.16.48,10280,178.64.112.203,443,2025-08-27-20:08:56,2025-08-27-20:11:46,170,30.233.45.60,18973,BRAS-006,user0154,SUB100154,Ira Sharma,"180, Church Street, Kolkata, India",ira.sharma744@yahoo.com,919324241541,919324241206,CUST200154,dynamic,22.59008,88.41587,+918642787557,,Ishaan Yadav
TCP,10.34.36.153,56557,96.74.31.227,5222,2025-08-23-05:44:37,2025-08-23-05:46:17,100,25.151.126.47,52866,BRAS-001,user0263,SUB100263,Sai Patel,"164, Bannerghatta Rd, Hyderabad, India",sai.patel114@yahoo.com,916638944846,916638944122,CUST200263,dynamic,17.42865,78.49064,+919300846199,,Reyansh Nair
TCP,20.170.60.164,1440,22.209.245.203,5060,2025-08-24-23:43:46,2025-08-24-23:45:44,118,20.170.60.164,0,BRAS-010,user0135,SUB100135,Vihaan Sharma,"134, Park Street, Pune, India",vihaan.sharma586@outlook.com,916581995604,916581995618,CUST200135,dynamic,18.49875,73.86619,+916218942836,,Myra Rao
TCP,100.108.79.154,10401,133.233.5.80,443,2025-08-26-15:00:05,2025-08-26-15:00:31,26,32.124.5.149,14534,BRAS-008,user0090,SUB100090,Aarohi Verma,"164, MG Road, Ahmedabad, India",aarohi.verma282@example.in,916544796275,916544796059,CUST200090,static,23.06168,72.57798,+916491224480,404453901462544,
TCP,156.76.55.180,46353,183.154.86.108,5060,2025-08-26-22:17:02,2025-08-26-22:18:43,101,156.76.55.180,0,BRAS-003,user0019,SUB100019,Muhammad Nair,"172, Church Street, Pune, India",muhammad.nair822@example.in,917158692322,917158692025,CUST200019,dynamic,18.49567,73.87622,+916482548495,SUB611071,Ayaan Khan
TCP,192.168.89.13,37574,30.20.254.5,80,2025-08-25-03:29:01,2025-08-25-03:29:11,10,107.53.141.22,1323,CGNAT-001,user0206,SUB100206,Ishita Nair,"11, Nehru Marg, Chennai, India",ishita.nair896@outlook.com,919218114374,919218114701,CUST200206,dynamic,13.06235,80.29318,+917884828094,404454572599888,Sai Nair
TCP,138.43.70.111,34286,197.52.110.66,80,2025-08-24-07:34:37,2025-08-24-07:37:38,181,138.43.70.111,0,BRAS-009,user0177,SUB100177,Aadhya Reddy,"19, Link Road, Bengaluru, India",aadhya.reddy984@yahoo.com,916593252500,916593252921,CUST200177,dynamic,13.00365,77.60159,,SUB137776,
TCP,10.203.238.212,56322,45.35.142.210,443,2025-08-28-01:34:11,2025-08-28-01:34:38,27,38.51.28.199,45932,BRAS-002,user0175,SUB100175,Myra Mehta,"61, Ring Road, Hyderabad, India",myra.mehta181@outlook.com,918932133480,918932133965,CUST200175,dynamic,17.39605,78.5121,+919971076888,SUB636712,Saanvi Yadav
TCP,192.168.53.168,22932,11.22.218.197,5222,2025-08-29-01:54:35,2025-08-29-01:56:26,111,111.70.164.32,17498,BRAS-006,user0050,SUB100050,Aarohi Das,"185, Park Street, Mumbai, India",aarohi.das16@example.in,919662702895,919662702718,CUST200050,dynamic,19.06466,72.91668,+916708383429,,
